Price,Volume,Market Cap
2500567.008879379,1029673984588.6106,48563148717612.836
2502357.795775521,1758695465573.914,48578186865325.61
2510800.4193944354,345660607629.89514,48734396786571.93
2509846.4251004555,594076747080.7101,48734744818084.05
2551500.66957532,1209178097455.7898,49539629655508.914
2523827.247568844,1017210158452.9607,49077248976986.945
2511780.8648864306,845378970736.261,48809427884852.234
2482233.259326311,1802426446528.9395,48289522849959.41
2505856.8066318473,1076108560569.267,48671094316439.75
2501332.8841657774,463545433937.9601,48571558277770.82
2492500.3371170303,624546283647.0508,48403125452321.63
2508304.707670713,1059233544144.0372,48715812596806.555
2523159.7176939403,968483422120.8706,49007423257520.836
2492740.9382487405,1071662708417.9513,48418649673494.74
2579546.5761292763,1743508379901.4082,50098518329631.414
2489624.087236037,1805065860512.5037,48303470045580.68
2487955.793985559,511905880181.9918,48337084682351.7
2481791.118077841,685869485192.0311,48129276762645.28
2473781.1815545587,900502489807.4685,48043232969256.97
2449795.1575852367,1079520549895.138,47579932281259.875
2455280.3408354167,701269472975.2428,47705380924764.99
2445005.0533706634,912552465462.2007,47551306105884.15
2453095.223507758,696421396951.4541,47676399455631.5
2436353.1128828623,553161686760.9698,47321956210501.7
2464874.1856593033,609093855760.1962,47914703695958.31
2387740.8321554842,1243187554023.8594,46392915414841.49
2394833.028224021,649853562716.5497,46549992952614.31
2407109.050658884,1072954148922.0516,46769769556455.445
2405374.304441513,745301433703.5792,46765087086544.03
2411566.726990857,632032965842.1056,46887937555011.94
2415075.4206020744,401668948216.0787,46958093590949.18
2408184.5954391323,647568495409.925,46813145869179.73
2404289.239653529,546257785252.1493,46740986270362.05
2431162.7295679585,1258494513078.3865,47114209118368.13
2409393.4547564187,1592641504470.882,46876973396801.54
2415451.2024729415,1038096623630.4694,47021765945369.69
2404893.2763585197,1001451437890.5905,46718353173463.82
2401492.155005148,441105452469.52423,46709836330819.06
2401826.3680181787,443271582414.7609,46718676781604.18
2414659.238213743,1096694399649.5923,46967323911674.91
2467311.1333673103,1209942318133.4746,47989351433941.41
2451588.156062397,1212582656239.0847,47725125505045.12
2436469.955533021,671246761252.8159,47398793230060.44
2438687.5457467195,385913939196.12506,47449716798216.625
2439956.322136694,331356767933.5374,47473047731385.32
2427652.0068137976,394196086859.9353,47225662823071.69
2448542.610285324,1033393901680.3359,47657576696220.4
2426822.6714498103,958682430115.1964,47216164063939.234
